setV,readV,readV_function
10,18.271330011998543,18.271330011998543
10,18.373799769619836,18.373799769619836
10,18.409602456017637,18.409602456017637
10,18.412071606803693,18.412071606803693
10,18.415775332982776,18.415775332982776
10,18.581208435648477,18.581208435648477
10,18.73553035977693,18.73553035977693
10,18.82935808964703,18.82935808964703
10,20.298502807349905,20.298502807349905
10,22.41703418178531,22.41703418178531
15,23.877536871736993,23.877536871736993
15,23.881240597916076,23.881240597916076
15,24.042969974402695,24.042969974402695
15,24.057784879119026,24.057784879119026
15,24.088649263944717,24.088649263944717
15,24.14420515663096,24.14420515663096
15,24.235563735715004,24.235563735715004
15,24.256551517396474,24.256551517396474
15,24.293588779187303,24.293588779187303
15,24.32568773940602,24.32568773940602
20,26.560269200786024,26.560269200786024
20,26.678788438516676,26.678788438516676
20,26.789900223889163,26.789900223889163
20,26.809653430177605,26.809653430177605
20,26.90595031083376,26.90595031083376
20,26.939283846445505,26.939283846445505
20,26.992370588345693,26.992370588345693
20,27.03064242552955,27.03064242552955
20,27.088667469001848,27.088667469001848
20,27.287434107279296,27.287434107279296
25,32.17388351288264,32.17388351288264
25,32.305983079936595,32.305983079936595
25,32.31832883386687,32.31832883386687
25,32.488700238104684,32.488700238104684
25,32.555367309328176,32.555367309328176
25,32.6504296145913,32.6504296145913
25,32.77265257850104,32.77265257850104
25,32.81339356647095,32.81339356647095
25,33.102284208439414,33.102284208439414
25,33.27512476346328,33.27512476346328
30,37.66157113489044,37.66157113489044
30,37.72576905532787,37.72576905532787
30,37.92083196742624,37.92083196742624
30,37.943054324500736,37.943054324500736
30,37.94675805067982,37.94675805067982
30,37.9726841339334,37.9726841339334
30,38.020832574261476,38.020832574261476
30,38.078857617733775,38.078857617733775
30,38.18996940310626,38.18996940310626
30,38.23688326804131,38.23688326804131
35,43.44679142661789,43.44679142661789
35,43.47271750987147,43.47271750987147
35,43.48012496222964,43.48012496222964
35,43.5097547716623,43.5097547716623
35,43.59740962456726,43.59740962456726
35,43.60234792613937,43.60234792613937
35,43.607286227711484,43.607286227711484
35,43.67024957275589,43.67024957275589
35,43.70852140993975,43.70852140993975
35,44.099881809529506,44.099881809529506
40,48.8097869339299,48.8097869339299
40,48.89620721144183,48.89620721144183
40,49.00114611984918,49.00114611984918
40,49.051763710963314,49.051763710963314
40,49.06287488950056,49.06287488950056
40,49.077689794216894,49.077689794216894
40,49.14188771465433,49.14188771465433
40,49.332012325180585,49.332012325180585
40,49.61473009018391,49.61473009018391
40,49.675224284442265,49.675224284442265
45,54.533278456005974,54.533278456005974
45,54.61969873351791,54.61969873351791
45,54.64068651519938,54.64068651519938
45,54.65426684452268,54.65426684452268
45,54.66167429688085,54.66167429688085
45,54.6641434476669,54.6641434476669
45,54.69006953092048,54.69006953092048
45,54.84068772886985,54.84068772886985
45,54.90612022470032,54.90612022470032
45,55.00241710535647,55.00241710535647
50,59.94318782825303,59.94318782825303
50,59.98392881622294,59.98392881622294
50,60.149361918888644,60.149361918888644
50,60.149361918888644,60.14936191888865
50,60.274054033584434,60.274054033584434
50,60.2814614859426,60.2814614859426
50,60.314795021554346,60.314795021554346
50,60.33825195402187,60.33825195402187
50,60.596278211164645,60.596278211164645
50,60.617265992846114,60.617265992846114
55,65.51359200159368,65.51359200159368
55,65.53087605709607,65.53087605709607
55,65.6086543068568,65.6086543068568
55,65.62346921157314,65.62346921157314
55,65.63458039011039,65.63458039011039
55,65.64692614404066,65.64692614404066
55,65.6666793503291,65.6666793503291
55,65.78026028648765,65.78026028648765
55,65.80248264356214,65.80248264356214
55,65.8049517943482,65.8049517943482
60,71.17905848019745,71.17905848019745
60,71.19140423412773,71.19140423412773
60,71.26794790849544,71.26794790849544
60,71.27288621006755,71.27288621006755
60,71.30375059489324,71.30375059489324
60,71.35436818600738,71.35436818600738
60,71.39017087240518,71.39017087240518
60,71.46177624520078,71.46177624520078
60,71.46301082059381,71.46301082059381
60,71.62967849865254,71.62967849865254
65,74.04080424123549,74.04080424123549
65,74.07784150302632,74.07784150302632
65,74.0901872569566,74.0901872569566
65,74.10870588785201,74.10870588785201
65,74.19882989154303,74.19882989154303
65,74.33957148634818,74.33957148634818
65,74.3408060617412,74.3408060617412
65,74.3852507758902,74.3852507758902
65,74.53463439844654,74.53463439844654
65,74.58895571573976,74.58895571573976
70,79.6852829381578,79.6852829381578
70,79.70256699366018,79.70256699366018
70,79.71614732298349,79.71614732298349
70,79.81120962824662,79.81120962824662
70,79.81985165599781,79.81985165599781
70,79.88898787800736,79.88898787800736
70,79.91367938586791,79.91367938586791
70,79.9803464570914,79.9803464570914
70,80.00997626652406,80.00997626652406
70,80.0247911712404,80.0247911712404
75,85.38655210315937,85.38655210315937
75,85.41494733719901,85.41494733719901
75,85.44457714663167,85.44457714663167
75,85.51124421785516,85.51124421785516
75,85.52852827335755,85.52852827335755
75,85.61371397547646,85.61371397547646
75,85.65322038805334,85.65322038805334
75,85.6692698681627,85.6692698681627
75,85.7408752409583,85.7408752409583
75,85.79519655825152,85.79519655825152
80,91.00387014143507,91.00387014143507
80,91.01621589536535,91.01621589536535
80,91.03103080008168,91.03103080008168
80,91.07177178805159,91.07177178805159
80,91.08164839119581,91.08164839119581
80,91.13967343466811,91.13967343466811
80,91.16559951792169,91.16559951792169
80,91.2643655493639,91.2643655493639
80,91.26930385093601,91.26930385093601
80,91.2865879064384,91.2865879064384
85,96.64094138599921,96.64094138599921
85,96.69896642947151,96.69896642947151
85,96.77057180226711,96.77057180226711
85,96.81625109180914,96.81625109180914
85,96.83353514731152,96.83353514731152
85,96.86563410753024,96.86563410753024
85,96.8903256153908,96.8903256153908
85,96.9039059447141,96.9039059447141
85,97.01378315469356,97.01378315469356
85,97.35452596316918,97.35452596316918
90,102.34961800335896,102.34961800335896
90,102.37430951121951,102.37430951121951
90,102.42863082851272,102.42863082851272
90,102.47184096726869,102.47184096726869
90,102.47554469344777,102.47554469344777
90,102.48048299501988,102.48048299501988
90,102.57677987567604,102.57677987567604
90,102.58048360185512,102.58048360185512
90,102.60023680814356,102.60023680814356
90,102.66690387936706,102.66690387936706
95,107.95829401388346,107.95829401388346
95,108.0224919343209,108.0224919343209
95,108.07557867622108,108.07557867622108
95,108.12249254115613,108.12249254115613
95,108.14594947362366,108.14594947362366
95,108.14594947362366,108.14594947362367
95,108.20520909248899,108.20520909248899
95,108.32125917943358,108.32125917943358
95,108.34101238572202,108.34101238572202
95,108.35459271504533,108.35459271504533
100,113.63610624641751,113.63610624641751
100,113.63857539720357,113.63857539720357
100,113.73116855168064,113.73116855168064
100,113.77314411504358,113.77314411504358
100,113.78548986897385,113.78548986897385
100,113.88055217423698,113.88055217423698
100,113.88425590041606,113.88425590041606
100,113.89289792816726,113.89289792816726
100,113.91018198366964,113.91018198366964
100,114.149689609917,114.149689609917
105,119.07564542809723,119.07564542809723
105,119.32996795906092,119.32996795906092
105,119.37935097478203,119.37935097478203
105,119.38182012556808,119.38182012556808
105,119.40774620882166,119.40774620882166
105,119.4633021015079,119.4633021015079
105,119.49540106172662,119.49540106172662
105,119.51391969262204,119.51391969262204
105,119.5879942162037,119.5879942162037
105,119.6509575612481,119.6509575612481
110,122.23122013267584,122.23122013267584
110,122.23492385885493,122.23492385885493
110,122.26702281907365,122.26702281907365
110,122.2694919698597,122.2694919698597
110,122.35344309658558,122.35344309658558
110,122.37072715208797,122.37072715208797
110,122.43862879870449,122.43862879870449
110,122.48183893746045,122.48183893746045
110,122.48554266363954,122.48554266363954
110,122.50035756835587,122.50035756835587
115,127.6855742190719,127.6855742190719
115,127.78927855208622,127.78927855208622
115,127.79545142905135,127.79545142905135
115,127.8510073217376,127.8510073217376
115,127.89545203588659,127.89545203588659
115,127.96582283328917,127.96582283328917
115,128.02631702754752,128.02631702754752
115,128.04607023383596,128.04607023383596
115,128.1152064558455,128.1152064558455
115,128.2127379118947,128.2127379118947
120,133.22511400758685,133.22511400758685
120,133.24363263848227,133.24363263848227
120,133.25474381701952,133.25474381701952
120,133.2856082018452,133.2856082018452
120,133.36462102699898,133.36462102699898
120,133.36709017778503,133.36709017778503
120,133.38437423328742,133.38437423328742
120,133.40412743957586,133.40412743957586
